Price,Close,High,Low,Open,Volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
2008-12-02,13405.849609375,13513.5,13344.599609375,13373.01953125,1961200000.0
2008-12-03,13588.66015625,13778.0498046875,13573.4296875,13598.599609375,1811400000.0
2008-12-04,13509.7802734375,13883.8701171875,13459.6103515625,13857.2900390625,1862600000.0
2008-12-05,13846.08984375,13875.1396484375,13656.919921875,13718.919921875,1750600000.0
2008-12-08,15044.8701171875,15044.8701171875,14303.25,14303.25,3219400000.0
2008-12-09,14753.2197265625,15205.3203125,14717.4697265625,15032.330078125,2440300000.0
2008-12-10,15577.740234375,15578.9599609375,14946.0,14946.0,2684200000.0
2008-12-11,15613.900390625,15781.0498046875,15337.73046875,15533.6201171875,2477400000.0
2008-12-12,14758.3896484375,15393.08984375,14479.23046875,15287.7001953125,2916300000.0
2008-12-15,15046.9501953125,15386.900390625,15007.419921875,15363.490234375,2021400000.0
2008-12-16,15130.2099609375,15217.25,14819.73046875,15018.4599609375,1661600000.0
2008-12-17,15460.51953125,15557.4501953125,15179.3798828125,15544.9697265625,2180500000.0
2008-12-18,15497.8095703125,15548.259765625,15301.16015625,15335.2998046875,1883000000.0
2008-12-19,15127.509765625,15444.2802734375,15014.98046875,15235.2197265625,2420200000.0
2008-12-22,14622.3896484375,15227.4296875,14622.3896484375,15177.1201171875,1413000000.0
2008-12-23,14220.7900390625,14491.75,14084.8603515625,14472.0302734375,1494200000.0
2008-12-24,14184.1396484375,14300.7001953125,13855.8896484375,13855.8896484375,865500000.0
2008-12-25,14184.1396484375,14300.7001953125,13855.8896484375,13855.8896484375,865500000.0
2008-12-26,14184.1396484375,14300.7001953125,13855.8896484375,13855.8896484375,865500000.0
2008-12-29,14328.48046875,14332.01953125,13924.3203125,14080.8603515625,1046600000.0
2008-12-30,14235.5,14513.48046875,14189.080078125,14476.740234375,1441700000.0
2008-12-31,14387.48046875,14527.099609375,14302.150390625,14377.509765625,1612200000.0
